,Player,Club,Appearances
0,Cristiano Ronaldo,Real Madrid CF,101
1,Cristiano Ronaldo,Juventus,23
2,Cristiano Ronaldo,Manchester United FC,59
3,Iker Casillas,Real Madrid CF,150
4,Iker Casillas,FC Porto,27
5,Lionel Messi,FC Barcelona,149
6,Lionel Messi,Paris Saint-Germain,14
7,Karim Benzema,Olympique Lyonnais,19
8,Karim Benzema,Real Madrid CF,133
9,Xavi Hernández,FC Barcelona,151
10,Raúl González,Real Madrid CF,130
11,Raúl González,FC Schalke 04,12
12,Thomas Müller,FC Bayern München,142
13,Ryan Giggs,Manchester United FC,141
14,Toni Kroos,FC Bayern München,41
15,Toni Kroos,Real Madrid CF,98
16,Sergio Ramos,Real Madrid CF,129
17,Sergio Ramos,Paris Saint-Germain,8
18,Manuel Neuer,FC Schalke 04,22
19,Manuel Neuer,FC Bayern München,109
20,Andrés Iniesta,FC Barcelona,130
21,Sergio Busquets,FC Barcelona,129
22,Gerard Piqué,Manchester United FC,4
23,Gerard Piqué,FC Barcelona,124
24,Clarence Seedorf,AFC Ajax,11
25,Clarence Seedorf,Real Madrid CF,25
26,Clarence Seedorf,AC Milan,89
27,Gianluigi Buffon,Parma FC,6
28,Gianluigi Buffon,Paris Saint-Germain,5
29,Gianluigi Buffon,Juventus,113
30,Zlatan Ibrahimović,AFC Ajax,19
31,Zlatan Ibrahimović,Juventus,19
32,Zlatan Ibrahimović,FC Internazionale Milano,22
33,Zlatan Ibrahimović,FC Barcelona,10
34,Zlatan Ibrahimović,Paris Saint-Germain,33
35,Zlatan Ibrahimović,Manchester United FC,1
36,Zlatan Ibrahimović,AC Milan,20
37,Paul Scholes,Manchester United FC,124
38,Roberto Carlos,Real Madrid CF,107
39,Roberto Carlos,Fenerbahçe SK,13
40,Xabi Alonso,Real Sociedad de Fútbol,8
41,Xabi Alonso,Liverpool FC,39
42,Xabi Alonso,Real Madrid CF,47
43,Xabi Alonso,FC Bayern München,25
44,Luka Modrić,Tottenham Hotspur,8
45,Luka Modrić,Real Madrid CF,109
46,Carles Puyol,FC Barcelona,115
47,David Alaba,FC Bayern München,91
48,David Alaba,Real Madrid CF,23
49,Pepe,Real Madrid CF,71
50,Pepe,Beşiktaş JK,6
51,Pepe,FC Porto,36
52,Thierry Henry,AS Monaco FC,9
53,Thierry Henry,FC Barcelona,26
54,Thierry Henry,Arsenal FC,77
55,Philipp Lahm,VfB Stuttgart,7
56,Philipp Lahm,FC Bayern München,105
57,Dani Alves,Sevilla FC,8
58,Dani Alves,FC Barcelona,80
59,Dani Alves,Juventus,12
60,Dani Alves,Paris Saint-Germain,11
61,Petr Čech,AC Sparta Praha,12
62,Petr Čech,Chelsea FC,94
63,Petr Čech,Arsenal FC,5
64,Robert Lewandowski,Borussia Dortmund,28
65,Robert Lewandowski,FC Bayern München,78
66,Robert Lewandowski,FC Barcelona,5
67,Arjen Robben,PSV Eindhoven,10
68,Arjen Robben,Chelsea FC,19
69,Arjen Robben,Real Madrid CF,11
70,Arjen Robben,FC Bayern München,70
71,Paolo Maldini,AC Milan,109
72,Gary Neville,Manchester United FC,109
73,John Terry,Chelsea FC,109
74,Ashley Cole,Arsenal FC,45
75,Ashley Cole,Chelsea FC,60
76,Ashley Cole,AS Roma,3
77,Patrice Evra,AS Monaco FC,21
78,Patrice Evra,Manchester United FC,65
79,Patrice Evra,Juventus,22
80,Andrea Pirlo,FC Internazionale Milano,5
81,Andrea Pirlo,AC Milan,78
82,Andrea Pirlo,Juventus,25
83,David Beckham,Manchester United FC,77
84,David Beckham,Real Madrid CF,26
85,David Beckham,AC Milan,2
86,David Beckham,Paris Saint-Germain,2
87,Víctor Valdés,FC Barcelona,106
88,Thiago Silva,AC Milan,20
89,Thiago Silva,Paris Saint-Germain,60
90,Thiago Silva,Chelsea FC,25
91,Frank Lampard,Chelsea FC,102
92,Frank Lampard,Manchester City FC,3
93,Cesc Fàbregas,Arsenal FC,55
94,Cesc Fàbregas,FC Barcelona,26
95,Cesc Fàbregas,Chelsea FC,23
96,Oliver Kahn,FC Bayern München,103
97,Luís Figo,FC Barcelona,24
98,Luís Figo,Real Madrid CF,58
99,Luís Figo,FC Internazionale Milano,21
100,Fernandinho,FC Shakhtar Donetsk,30
101,Fernandinho,Manchester City FC,73
102,Ángel Di María,SL Benfica,6
103,Ángel Di María,Real Madrid CF,39
104,Ángel Di María,Paris Saint-Germain,54
105,Ángel Di María,Juventus,3
106,Marcelo,Real Madrid CF,102
107,Andriy Shevchenko,AC Milan,59
108,Andriy Shevchenko,Chelsea FC,15
109,Andriy Shevchenko,FC Dynamo Kyiv,26
110,Alessandro Nesta,SS Lazio,21
111,Alessandro Nesta,AC Milan,78
112,Edwin van der Sar,AFC Ajax,38
113,Edwin van der Sar,Juventus,6
114,Edwin van der Sar,Manchester United FC,54
115,Guti,Real Madrid CF,97
116,Javier Zanetti,FC Internazionale Milano,97
117,Claude Makelele,FC Nantes,9
118,Claude Makelele,Real Madrid CF,38
119,Claude Makelele,Chelsea FC,49
120,Javier Mascherano,Liverpool FC,28
121,Javier Mascherano,FC Barcelona,68
122,Bastian Schweinsteiger,FC Bayern München,89
123,Bastian Schweinsteiger,Manchester United FC,6
124,Maxwell,AFC Ajax,23
125,Maxwell,FC Internazionale Milano,13
126,Maxwell,FC Barcelona,17
127,Maxwell,Paris Saint-Germain,41
128,Michael Ballack,1. FC Kaiserslautern,6
129,Michael Ballack,FC Bayern München,28
130,Michael Ballack,Chelsea FC,33
131,Michael Ballack,Bayer 04 Leverkusen,26
132,Rio Ferdinand,Leeds United,7
133,Rio Ferdinand,Manchester United FC,86
134,Fernando Morientes,AS Monaco FC,12
135,Fernando Morientes,Real Madrid CF,58
136,Fernando Morientes,Liverpool FC,5
137,Fernando Morientes,Valencia CF,14
138,Fernando Morientes,Olympique de Marseille,4
139,Didier Drogba,Olympique de Marseille,6
140,Didier Drogba,Galatasaray AŞ,12
141,Didier Drogba,Chelsea FC,74
142,Ivan Rakitić,FC Schalke 04,12
143,Ivan Rakitić,FC Barcelona,60
144,Ivan Rakitić,Sevilla FC,19
145,Alessandro Del Piero,Juventus,88
146,Hasan Salihamidžić,FC Bayern München,85
147,Hasan Salihamidžić,Juventus,3
148,Raphaël Varane,Real Madrid CF,83
149,Raphaël Varane,Manchester United FC,5
150,İlkay Gündoğan,Borussia Dortmund,20
151,İlkay Gündoğan,Manchester City FC,67
152,Bernardo Silva,AS Monaco FC,18
153,Bernardo Silva,Manchester City FC,61
154,Esteban Cambiasso,Real Madrid CF,14
155,Esteban Cambiasso,FC Internazionale Milano,62
156,Esteban Cambiasso,Olympiacos FC,3
157,Dani Carvajal,Real Madrid CF,79
158,Phillip Cocu,FC Barcelona,46
159,Phillip Cocu,PSV Eindhoven,33
160,Gennaro Gattuso,AC Milan,79
161,Mohamed Salah,FC Basel 1893,6
162,Mohamed Salah,Chelsea FC,2
163,Mohamed Salah,AS Roma,7
164,Mohamed Salah,Liverpool FC,64
165,Fernando Torres,Liverpool FC,21
166,Fernando Torres,Chelsea FC,29
167,Fernando Torres,Club Atlético de Madrid,29
168,Marco Verratti,Paris Saint-Germain,79
169,Isco,Valencia CF,2
170,Isco,Málaga CF,8
171,Isco,Real Madrid CF,62
172,Isco,Sevilla FC,6
173,Samuel Eto’o,Real Madrid CF,3
174,Samuel Eto’o,RCD Mallorca,5
175,Samuel Eto’o,FC Barcelona,38
176,Samuel Eto’o,FC Internazionale Milano,23
177,Samuel Eto’o,Chelsea FC,9
178,Alex Sandro,FC Porto,21
179,Alex Sandro,Juventus,57
180,Mats Hummels,FC Bayern München,24
181,Mats Hummels,Borussia Dortmund,53
182,Sami Khedira,VfB Stuttgart,11
183,Sami Khedira,Real Madrid CF,34
184,Sami Khedira,Juventus,32
185,Olexandr Shovkovskiy,FC Dynamo Kyiv,77
186,Ole Gunnar Solskjær,Manchester United FC,77
187,Alessio Tacchinardi,Juventus,69
188,Alessio Tacchinardi,Villarreal CF,8
189,Douglas Costa,FC Shakhtar Donetsk,34
190,Douglas Costa,Juventus,16
191,Douglas Costa,FC Bayern München,26
192,Michael Essien,Olympique Lyonnais,18
193,Michael Essien,Chelsea FC,49
194,Michael Essien,Real Madrid CF,7
195,Michael Essien,AC Milan,2
196,Pepe Reina,FC Barcelona,4
197,Pepe Reina,Liverpool FC,46
198,Pepe Reina,FC Bayern München,0
199,Pepe Reina,SSC Napoli,19
200,Pepe Reina,SS Lazio,7
201,Pedro Rodríguez,FC Barcelona,60
202,Pedro Rodríguez,Chelsea FC,16
203,Wesley Sneijder,AFC Ajax,19
204,Wesley Sneijder,Real Madrid CF,9
205,Wesley Sneijder,FC Internazionale Milano,25
206,Wesley Sneijder,Galatasaray AŞ,23
207,Marc-André ter Stegen,FC Barcelona,76
208,Mark van Bommel,PSV Eindhoven,31
209,Mark van Bommel,FC Barcelona,9
210,Mark van Bommel,FC Bayern München,30
211,Mark van Bommel,AC Milan,6
212,Patrick Vieira,Arsenal FC,57
213,Patrick Vieira,Juventus,7
214,Patrick Vieira,FC Internazionale Milano,12
215,Sylvain Wiltord,FC Girondins de Bordeaux,12
216,Sylvain Wiltord,Arsenal FC,40
217,Sylvain Wiltord,Olympique Lyonnais,24
218,César Azpilicueta,Olympique de Marseille,12
219,César Azpilicueta,Chelsea FC,63
220,Thibaut Courtois,Club Atlético de Madrid,12
221,Thibaut Courtois,Chelsea FC,16
222,Thibaut Courtois,Real Madrid CF,47
223,Deco,FC Porto,35
224,Deco,FC Barcelona,32
225,Deco,Chelsea FC,8
226,Edin Džeko,VfL Wolfsburg,6
227,Edin Džeko,Manchester City FC,24
228,Edin Džeko,AS Roma,25
229,Edin Džeko,FC Internazionale Milano,20
230,Giorgio Chiellini,Juventus,74
231,Edgar Davids,AFC Ajax,18
232,Edgar Davids,AC Milan,4
233,Edgar Davids,Juventus,48
234,Edgar Davids,FC Internazionale Milano,4
235,Pavel Nedvěd,SS Lazio,22
236,Pavel Nedvěd,Juventus,52
237,Iván Helguera,Real Madrid CF,81
238,Iván Helguera,Valencia CF,6
239,Franck Ribéry,FC Bayern München,87
240,Dejan Stanković,SS Lazio,31
241,Dejan Stanković,FC Internazionale Milano,56
242,Ricardo Carvalho,FC Porto,21
243,Ricardo Carvalho,Chelsea FC,47
244,Ricardo Carvalho,Real Madrid CF,12
245,Ricardo Carvalho,AS Monaco FC,6
246,Kaká,Real Madrid CF,24
247,Kaká,AC Milan,62
248,Koke,Club Atlético de Madrid,86
249,Jérôme Boateng,FC Bayern München,85
250,Antoine Griezmann,Real Sociedad de Fútbol,6
251,Antoine Griezmann,FC Barcelona,16
252,Antoine Griezmann,Club Atlético de Madrid,63
253,Wayne Rooney,Manchester United FC,85
254,Jordi Alba,Valencia CF,7
255,Jordi Alba,FC Barcelona,77
256,Leonardo Bonucci,Juventus,84
257,Lúcio,Bayer 04 Leverkusen,22
258,Lúcio,FC Bayern München,32
259,Lúcio,FC Internazionale Milano,27
260,Lúcio,Juventus,2
261,Gonzalo Higuaín,Real Madrid CF,48
262,Gonzalo Higuaín,SSC Napoli,5
263,Gonzalo Higuaín,Juventus,30
264,Florent Malouda,Olympique Lyonnais,36
265,Florent Malouda,Chelsea FC,47
266,Miralem Pjanić,Olympique Lyonnais,21
267,Miralem Pjanić,AS Roma,13
268,Miralem Pjanić,Juventus,38
269,Miralem Pjanić,FC Barcelona,8
270,Miralem Pjanić,Beşiktaş JK,3
271,Arturo Vidal,Juventus,27
272,Arturo Vidal,FC Bayern München,27
273,Arturo Vidal,FC Barcelona,18
274,Arturo Vidal,FC Internazionale Milano,11
275,Massimo Ambrosini,AC Milan,82
276,Thiago Motta,FC Barcelona,32
277,Thiago Motta,FC Internazionale Milano,15
278,Thiago Motta,Paris Saint-Germain,35
279,Robert Pirès,Olympique de Marseille,11
280,Robert Pirès,Arsenal FC,63
281,Robert Pirès,Villarreal CF,8
282,Mikaël Silvestre,FC Internazionale Milano,6
283,Mikaël Silvestre,Manchester United FC,64
284,Mikaël Silvestre,Arsenal FC,9
285,Mikaël Silvestre,SV Werder Bremen,3
286,Raheem Sterling,Liverpool FC,6
287,Raheem Sterling,Manchester City FC,67
288,Raheem Sterling,Chelsea FC,9
289,Marquinhos,Paris Saint-Germain,81
290,Casemiro,FC Porto,8
291,Casemiro,Real Madrid CF,73
292,Neymar,FC Barcelona,40
293,Neymar,Paris Saint-Germain,41
294,Frank de Boer,AFC Ajax,34
295,Frank de Boer,FC Barcelona,41
296,Frank de Boer,Galatasaray AŞ,6
297,Sergei Ignashevich,FC Lokomotiv Moskva,23
298,Sergei Ignashevich,PFC CSKA Moskva,58
299,Filippo Inzaghi,Juventus,26
300,Filippo Inzaghi,AC Milan,55
301,Míchel Salgado,Real Madrid CF,81
302,Thiago Alcántara,FC Barcelona,10
303,Thiago Alcántara,FC Bayern München,51
304,Thiago Alcántara,Liverpool FC,19
305,Jamie Carragher,Liverpool FC,80
306,Zinédine Zidane,Juventus,35
307,Zinédine Zidane,Real Madrid CF,45
308,Sergio Agüero,Club Atlético de Madrid,14
309,Sergio Agüero,Manchester City FC,64
310,Sergio Agüero,FC Barcelona,1
311,Jan Oblak,SL Benfica,0
312,Jan Oblak,Club Atlético de Madrid,74
313,Nicolás Otamendi,FC Porto,17
314,Nicolás Otamendi,Manchester City FC,39
315,Nicolás Otamendi,SL Benfica,18
316,Christian Panucci,AC Milan,21
317,Christian Panucci,Real Madrid CF,15
318,Christian Panucci,AS Roma,38
319,Michael Reiziger,AFC Ajax,20
320,Michael Reiziger,AC Milan,3
321,Michael Reiziger,FC Barcelona,41
322,Michael Reiziger,PSV Eindhoven,10
323,John Arne Riise,AS Monaco FC,2
324,John Arne Riise,Liverpool FC,58
325,John Arne Riise,AS Roma,13
326,John Arne Riise,APOEL FC,1
327,Rivaldo,FC Barcelona,43
328,Rivaldo,AC Milan,13
329,Rivaldo,Olympiacos FC,17
330,Gaël Clichy,Arsenal FC,42
331,Gaël Clichy,Manchester City FC,31
332,Steven Gerrard,Liverpool FC,73
333,Sidney Govou,Olympique Lyonnais,71
334,Sidney Govou,Panathinaikos FC,2
335,James Milner,Manchester City FC,20
336,James Milner,Liverpool FC,53
337,Claudio Pizarro,Chelsea FC,2
338,Claudio Pizarro,SV Werder Bremen,9
339,Claudio Pizarro,FC Bayern München,62
340,Luis Suárez,AFC Ajax,5
341,Luis Suárez,FC Barcelona,55
342,Luis Suárez,Club Atlético de Madrid,13
343,Ruud van Nistelrooy,PSV Eindhoven,11
344,Ruud van Nistelrooy,Manchester United FC,43
345,Ruud van Nistelrooy,Real Madrid CF,19
346,Dida,AC Milan,72
347,Rafinha,FC Schalke 04,15
348,Rafinha,FC Bayern München,51
349,Rafinha,Olympiacos FC,6
350,Samuel Kuffour,FC Bayern München,72
351,Álvaro Morata,Real Madrid CF,15
352,Álvaro Morata,Chelsea FC,7
353,Álvaro Morata,Juventus,35
354,Álvaro Morata,Club Atlético de Madrid,15
355,Andriy Pyatov,FC Shakhtar Donetsk,72
356,Anthony Réveillère,Valencia CF,6
357,Anthony Réveillère,Olympique Lyonnais,66
358,Walter Samuel,AS Roma,22
359,Walter Samuel,Real Madrid CF,6
360,Walter Samuel,FC Internazionale Milano,40
361,Walter Samuel,FC Basel 1893,4
362,Fabinho,AS Monaco FC,25
363,Fabinho,Liverpool FC,47
364,Raúl Albiol,Valencia CF,15
365,Raúl Albiol,Real Madrid CF,21
366,Raúl Albiol,SSC Napoli,23
367,Raúl Albiol,Villarreal CF,12
368,Willian,FC Shakhtar Donetsk,30
369,Willian,Chelsea FC,41
370,William Gallas,Olympique de Marseille,7
371,William Gallas,Chelsea FC,30
372,William Gallas,Arsenal FC,26
373,William Gallas,Tottenham Hotspur,8
374,Roy Keane,Manchester United FC,71
375,Patrick Kluivert,AFC Ajax,22
376,Patrick Kluivert,FC Barcelona,46
377,Patrick Kluivert,PSV Eindhoven,3
378,John O’Shea,Manchester United FC,71
379,Ederson,SL Benfica,10
380,Ederson,Manchester City FC,61
381,Fernando,FC Porto,34
382,Fernando,Manchester City FC,19
383,Fernando,Galatasaray AŞ,4
384,Fernando,Sevilla FC,14
385,Roar Strand,Rosenborg BK,71
386,Axel Witsel,R. Standard de Liège,6
387,Axel Witsel,SL Benfica,10
388,Axel Witsel,FC Zenit,24
389,Axel Witsel,Borussia Dortmund,25
390,Axel Witsel,Club Atlético de Madrid,6
391,Michael Carrick,Manchester United FC,70
392,Edinson Cavani,SSC Napoli,8
393,Edinson Cavani,Paris Saint-Germain,54
394,Edinson Cavani,Manchester United FC,8
395,David Silva,Valencia CF,15
396,David Silva,Manchester City FC,55
397,Kevin De Bruyne,KRC Genk,4
398,Kevin De Bruyne,Chelsea FC,3
399,Kevin De Bruyne,Manchester City FC,63
400,Kakha Kaladze,FC Dynamo Kyiv,24
401,Kakha Kaladze,AC Milan,46
402,Joshua Kimmich,FC Bayern München,70
403,Hugo Lloris,Olympique Lyonnais,36
404,Hugo Lloris,Tottenham Hotspur,34
405,Yaroslav Rakits’kyy,FC Shakhtar Donetsk,53
406,Yaroslav Rakits’kyy,FC Zenit,17
407,Tomáš Rosický,AC Sparta Praha,18
408,Tomáš Rosický,Borussia Dortmund,13
409,Tomáš Rosický,Arsenal FC,39
410,Mehmet Scholl,FC Bayern München,70
411,Yaya Touré,Olympiacos FC,6
412,Yaya Touré,FC Barcelona,27
413,Yaya Touré,Manchester City FC,37
414,Gianluca Zambrotta,Juventus,44
415,Gianluca Zambrotta,FC Barcelona,13
416,Gianluca Zambrotta,AC Milan,13
417,Giovane Elber,FC Bayern München,60
418,Giovane Elber,Olympique Lyonnais,9
419,Mario Götze,FC Bayern München,26
420,Mario Götze,Borussia Dortmund,36
421,Mario Götze,Eintracht Frankfurt,7
422,Saúl Ñíguez,Chelsea FC,5
423,Saúl Ñíguez,Club Atlético de Madrid,64
424,Mesut Özil,FC Schalke 04,4
425,Mesut Özil,SV Werder Bremen,6
426,Mesut Özil,Real Madrid CF,31
427,Mesut Özil,Arsenal FC,28
428,Alexis Sánchez,FC Barcelona,24
429,Alexis Sánchez,Arsenal FC,22
430,Alexis Sánchez,Manchester United FC,6
431,Alexis Sánchez,FC Internazionale Milano,12
432,Alexis Sánchez,Olympique de Marseille,5
433,Nicolas Anelka,Arsenal FC,5
434,Nicolas Anelka,Real Madrid CF,10
435,Nicolas Anelka,Paris Saint-Germain,9
436,Nicolas Anelka,Fenerbahçe SK,6
437,Nicolas Anelka,Chelsea FC,37
438,Nicolas Anelka,Juventus,1
439,Álvaro Arbeloa,Liverpool FC,22
440,Álvaro Arbeloa,Real Madrid CF,46
441,Blaise Matuidi,Paris Saint-Germain,45
442,Blaise Matuidi,Juventus,23
443,Fernando Hierro,Real Madrid CF,68
444,Wojciech Szczęsny,Arsenal FC,23
445,Wojciech Szczęsny,AS Roma,8
446,Wojciech Szczęsny,Juventus,37
447,Nicky Butt,Manchester United FC,67
448,Martín Demichelis,FC Bayern München,43
449,Martín Demichelis,Málaga CF,9
450,Martín Demichelis,Manchester City FC,15
451,Jens Lehmann,Borussia Dortmund,24
452,Jens Lehmann,Arsenal FC,35
453,Jens Lehmann,VfB Stuttgart,8
454,Jesús Navas,Manchester City FC,30
455,Jesús Navas,Sevilla FC,37
456,Gianluca Pessotto,Juventus,67
457,Lilian Thuram,AS Monaco FC,6
458,Lilian Thuram,Parma FC,6
459,Lilian Thuram,Juventus,45
460,Lilian Thuram,FC Barcelona,10
461,Kolo Touré,Arsenal FC,61
462,Kolo Touré,Manchester City FC,1
463,Kolo Touré,Liverpool FC,2
464,Kolo Touré,Celtic FC,3
465,Gareth Bale,Tottenham Hotspur,9
466,Gareth Bale,Real Madrid CF,57
467,Alex,PSV Eindhoven,26
468,Alex,Chelsea FC,24
469,Alex,Paris Saint-Germain,16
470,Emmanuel Eboué,Arsenal FC,48
471,Emmanuel Eboué,Galatasaray AŞ,18
472,Javi Martínez,FC Bayern München,66
473,Santiago Cañizares,Real Madrid CF,7
474,Santiago Cañizares,Valencia CF,58
475,Alessandro Costacurta,AC Milan,65
476,Hernán Crespo,Parma FC,6
477,Hernán Crespo,SS Lazio,11
478,Hernán Crespo,AC Milan,10
479,Hernán Crespo,Chelsea FC,15
480,Hernán Crespo,FC Internazionale Milano,23
481,Julian Draxler,FC Schalke 04,23
482,Julian Draxler,VfL Wolfsburg,9
483,Julian Draxler,Paris Saint-Germain,30
484,Julian Draxler,SL Benfica,3
485,Mateo Kovačić,GNK Dinamo Zagreb,12
486,Mateo Kovačić,Real Madrid CF,21
487,Mateo Kovačić,Chelsea FC,32
488,José Bosingwa,Boavista FC,8
489,José Bosingwa,FC Porto,31
490,José Bosingwa,Chelsea FC,25
491,João Félix,SL Benfica,1
492,João Félix,Club Atlético de Madrid,27
493,João Félix,Chelsea FC,4
494,Diego Godín,Villarreal CF,7
495,Diego Godín,Club Atlético de Madrid,52
496,Diego Godín,FC Internazionale Milano,5
497,Branislav Ivanović,Chelsea FC,58
498,Branislav Ivanović,FC Zenit,6
499,Fredrik Ljungberg,Arsenal FC,64
500,Sadio Mané,Liverpool FC,55
501,Sadio Mané,FC Bayern München,9
502,Willy Sagnol,AS Monaco FC,8
503,Willy Sagnol,FC Bayern München,56
504,Júlio César,FC Internazionale Milano,52
505,Júlio César,SL Benfica,12
506,Wes Brown,Manchester United FC,63
507,Lucho González,Olympique de Marseille,19
508,Lucho González,FC Porto,44
509,Keylor Navas,Real Madrid CF,39
510,Keylor Navas,Paris Saint-Germain,24
511,Darijo Srna,FC Shakhtar Donetsk,63
512,Éric Abidal,AS Monaco FC,1
513,Éric Abidal,Olympique Lyonnais,20
514,Éric Abidal,FC Barcelona,35
515,Éric Abidal,Olympiacos FC,6
516,Jörg Butt,Hamburger SV,6
517,Jörg Butt,Bayer 04 Leverkusen,35
518,Jörg Butt,SL Benfica,0
519,Jörg Butt,FC Bayern München,21
520,Zé Roberto,Real Madrid CF,4
521,Zé Roberto,Bayer 04 Leverkusen,21
522,Zé Roberto,FC Bayern München,37
523,Danilo,FC Porto,21
524,Danilo,Real Madrid CF,10
525,Danilo,Manchester City FC,8
526,Danilo,Juventus,23
527,Predrag Djordjević,Olympiacos FC,62
528,Emerson,Bayer 04 Leverkusen,13
529,Emerson,AS Roma,22
530,Emerson,Juventus,18
531,Emerson,Real Madrid CF,6
532,Emerson,AC Milan,3
533,Darren Fletcher,Manchester United FC,62
534,Tomáš Hübschman,AC Sparta Praha,19
535,Tomáš Hübschman,FC Shakhtar Donetsk,43
536,Seydou Keita,Olympique de Marseille,3
537,Seydou Keita,RC Lens,5
538,Seydou Keita,Sevilla FC,7
539,Seydou Keita,FC Barcelona,39
540,Seydou Keita,AS Roma,8
541,Bixente Lizarazu,FC Bayern München,62
542,Jaap Stam,PSV Eindhoven,5
543,Jaap Stam,Manchester United FC,30
544,Jaap Stam,SS Lazio,10
545,Jaap Stam,AC Milan,17
546,Daley Blind,Manchester United FC,12
547,Daley Blind,AFC Ajax,49
548,Fabio Cannavaro,Parma FC,5
549,Fabio Cannavaro,FC Internazionale Milano,17
550,Fabio Cannavaro,Real Madrid CF,19
551,Fabio Cannavaro,Juventus,20
552,Grégory Coupet,Olympique Lyonnais,59
553,Grégory Coupet,Club Atlético de Madrid,2
554,Luisão,SL Benfica,61
555,Daniele De Rossi,AS Roma,61
556,Didier Deschamps,Olympique de Marseille,7
557,Didier Deschamps,Juventus,35
558,Didier Deschamps,Chelsea FC,13
559,Didier Deschamps,Valencia CF,6
560,Eden Hazard,LOSC Lille,6
561,Eden Hazard,Chelsea FC,38
562,Eden Hazard,Real Madrid CF,17
563,João Moutinho,Sporting Clube de Portugal,20
564,João Moutinho,FC Porto,14
565,João Moutinho,AS Monaco FC,27
566,Roy Makaay,Real Club Deportivo La Coruña,29
567,Roy Makaay,FC Bayern München,32
568,Kylian Mbappé,AS Monaco FC,9
569,Kylian Mbappé,Paris Saint-Germain,52
570,Antonis Nikopolidis,Panathinaikos FC,28
571,Antonis Nikopolidis,Olympiacos FC,33
572,Roque Santa Cruz,FC Bayern München,51
573,Roque Santa Cruz,Málaga CF,10
574,Santiago Solari,Real Madrid CF,48
575,Santiago Solari,FC Internazionale Milano,13
576,Igor Akinfeev,PFC CSKA Moskva,60
577,Nani,Manchester United FC,49
578,Nani,Sporting Clube de Portugal,11
579,Ricardo Quaresma,FC Internazionale Milano,8
580,Ricardo Quaresma,FC Porto,39
581,Ricardo Quaresma,Beşiktaş JK,13
582,Dimitar Berbatov,Bayer 04 Leverkusen,26
583,Dimitar Berbatov,Manchester United FC,25
584,Dimitar Berbatov,AS Monaco FC,9
585,Iván Córdoba,FC Internazionale Milano,60
586,Ángel Correa,Club Atlético de Madrid,60
587,Jefferson Farfán,PSV Eindhoven,34
588,Jefferson Farfán,FC Schalke 04,22
589,Jefferson Farfán,FC Lokomotiv Moskva,4
590,Erik Hoftun,Rosenborg BK,60
591,Nwankwo Kanu,AFC Ajax,16
592,Nwankwo Kanu,Arsenal FC,44
593,Mario Mandžukić,FC Bayern München,20
594,Mario Mandžukić,Club Atlético de Madrid,10
595,Mario Mandžukić,Juventus,30
596,Adrien Rabiot,Paris Saint-Germain,36
597,Adrien Rabiot,Juventus,24
598,Lucas Moura,Paris Saint-Germain,38
599,Lucas Moura,Tottenham Hotspur,22
600,Maicon Sisenando,AS Monaco FC,7
601,Maicon Sisenando,FC Internazionale Milano,44
602,Maicon Sisenando,Manchester City FC,3
603,Maicon Sisenando,AS Roma,6
604,Juan Verón,SS Lazio,18
605,Juan Verón,Manchester United FC,22
606,Juan Verón,Chelsea FC,5
607,Juan Verón,FC Internazionale Milano,15
